Shirts,Pants,Undergarments,Jackets,WashingTime,kfold
0,1,2,3,26,0.0
9,10,3,2,76,3.0
8,8,0,2,58,4.0
6,3,7,1,33,0.0
6,4,5,3,44,0.0
4,4,2,3,48,0.0
9,3,3,2,46,0.0
4,10,7,4,62,3.0
9,7,7,2,66,3.0
9,4,7,0,46,3.0
0,5,2,2,36,3.0
8,0,5,2,37,2.0
6,0,6,3,39,2.0
6,5,2,1,37,3.0
0,8,5,1,41,1.0
1,3,4,1,31,1.0
10,5,7,3,59,1.0
9,9,6,3,57,0.0
7,2,0,4,47,0.0
5,2,7,0,21,4.0
0,7,7,5,66,1.0
4,9,4,4,55,2.0
5,8,0,3,56,1.0
8,0,4,1,30,3.0
1,2,1,5,40,4.0
2,3,5,2,32,3.0
1,4,3,3,39,2.0
2,0,5,3,34,0.0
3,1,0,0,17,3.0
3,8,3,0,43,0.0
6,0,7,3,37,2.0
4,6,7,3,50,3.0
1,1,7,5,45,4.0
10,8,7,0,56,4.0
9,3,2,0,41,4.0
9,0,3,3,32,0.0
3,7,7,1,45,2.0
4,9,6,1,44,2.0
2,6,0,0,30,2.0
7,8,5,0,41,1.0
8,0,6,3,33,3.0
6,9,0,3,59,4.0
3,5,6,1,46,3.0
8,2,0,2,44,2.0
10,5,1,3,62,1.0
0,4,0,2,32,0.0
7,4,4,3,48,0.0
10,1,7,2,38,1.0
6,10,4,5,72,4.0
7,8,4,0,49,3.0
6,2,6,5,53,3.0
10,7,5,4,72,1.0
2,10,1,2,43,0.0
4,8,0,3,49,3.0
5,6,0,2,39,2.0
3,5,7,3,51,3.0
2,1,7,2,32,1.0
8,5,0,4,51,4.0
7,7,4,5,67,0.0
2,1,4,1,24,1.0
9,2,6,5,67,0.0
2,6,7,2,51,2.0
3,7,5,4,52,2.0
3,4,1,4,47,1.0
1,4,1,1,28,2.0
0,3,5,4,39,1.0
8,8,2,0,52,3.0
6,3,1,4,53,1.0
6,5,7,2,48,0.0
9,8,6,1,47,1.0
2,9,0,2,49,0.0
5,3,6,4,49,0.0
4,4,5,1,29,1.0
6,9,7,5,72,0.0
2,5,0,2,38,1.0
1,10,5,1,44,0.0
3,4,0,5,44,3.0
10,3,1,3,55,4.0
2,2,1,2,28,0.0
4,0,3,3,33,2.0
8,0,4,5,45,4.0
2,0,1,3,30,3.0
3,3,6,2,39,2.0
2,9,0,3,54,1.0
0,0,1,4,29,3.0
5,8,4,3,58,3.0
1,2,0,4,38,0.0
9,4,2,2,43,3.0
9,10,3,1,73,1.0
6,4,2,0,32,4.0
1,2,1,4,39,0.0
2,7,5,0,36,0.0
6,8,5,4,69,2.0
8,8,0,0,45,2.0
3,8,3,1,43,1.0
7,8,0,4,67,4.0
1,0,0,2,21,2.0
9,0,2,2,36,1.0
0,2,3,2,29,4.0
8,7,6,1,51,0.0
8,3,6,5,67,3.0
2,1,6,5,38,1.0
2,8,2,3,49,4.0
8,2,5,5,44,3.0
3,2,6,3,37,0.0
7,8,5,4,59,3.0
1,1,3,5,41,4.0
5,4,2,3,49,2.0
9,3,7,5,59,4.0
2,10,0,1,43,3.0
5,1,0,4,37,3.0
2,10,0,3,44,1.0
9,6,0,2,56,2.0
7,6,2,0,31,3.0
4,2,5,5,47,2.0
4,3,0,0,22,4.0
10,10,3,0,67,3.0
6,7,1,4,66,0.0
8,5,2,0,44,4.0
6,10,5,5,73,2.0
9,7,4,5,79,1.0
0,10,0,1,35,4.0
9,3,6,1,42,1.0
5,1,3,4,41,4.0
9,2,0,5,51,0.0
3,6,5,0,34,1.0
10,3,0,4,49,2.0
10,8,2,4,62,3.0
0,2,2,2,26,0.0
10,4,2,0,43,1.0
9,7,4,2,61,4.0
6,6,1,1,41,2.0
9,9,1,3,68,1.0
0,7,7,2,49,4.0
9,5,3,0,42,2.0
1,3,0,5,38,1.0
0,1,3,1,18,4.0
5,6,4,2,50,1.0
2,10,7,2,66,2.0
8,9,1,2,62,4.0
7,5,0,0,31,3.0
6,5,2,2,45,3.0
3,8,2,1,41,3.0
10,6,4,0,50,1.0
9,6,3,5,69,3.0
10,0,1,4,48,0.0
5,1,6,3,34,0.0
4,2,4,1,28,0.0
3,0,0,4,37,2.0
9,5,0,0,46,3.0
10,2,5,5,54,2.0
0,0,7,0,16,0.0
4,2,0,1,26,3.0
8,6,2,2,55,4.0
10,10,7,2,68,0.0
1,5,3,1,31,0.0
10,2,3,4,57,3.0
8,9,3,1,59,0.0
7,2,1,3,44,1.0
2,2,7,3,33,1.0
9,6,1,1,50,3.0
0,0,7,5,34,4.0
7,7,1,1,47,3.0
3,6,7,4,56,4.0
9,4,6,4,59,2.0
2,6,0,5,52,4.0
0,9,6,4,55,3.0
1,1,0,2,23,0.0
1,7,1,3,47,3.0
8,5,6,3,48,1.0
10,9,6,5,76,0.0
2,6,2,1,35,0.0
9,0,3,1,34,1.0
9,7,4,5,74,2.0
6,4,4,1,38,0.0
0,1,1,2,23,1.0
6,6,5,4,59,3.0
2,5,3,2,41,2.0
8,0,6,2,37,2.0
7,1,1,4,47,1.0
6,4,2,0,35,1.0
1,10,3,0,48,3.0
10,2,7,5,60,3.0
7,3,6,5,60,2.0
2,8,7,2,54,0.0
7,5,6,5,60,4.0
10,0,2,2,47,4.0
1,7,1,5,63,4.0
0,0,5,0,10,2.0
7,9,4,5,85,4.0
10,8,7,4,73,1.0
7,3,2,4,55,0.0
6,10,5,2,54,0.0
5,10,1,3,56,4.0
6,10,3,5,68,2.0
2,3,3,5,51,1.0
6,6,2,5,60,4.0
3,6,5,5,55,0.0
2,8,1,0,38,0.0
7,7,2,2,62,4.0
5,10,4,4,70,4.0
0,0,2,2,20,2.0
5,1,2,3,37,0.0
1,7,5,4,49,4.0
2,3,2,1,27,4.0
9,7,1,1,44,2.0
5,9,1,5,63,1.0
2,0,3,4,32,3.0
6,3,2,5,46,2.0
9,5,5,1,40,0.0
3,6,3,3,47,4.0
8,9,5,4,72,3.0
10,1,0,3,51,1.0
8,1,4,0,35,2.0
3,2,4,2,34,4.0
5,0,5,3,37,3.0
1,0,3,1,19,0.0
0,5,5,0,30,2.0
0,5,7,2,39,1.0
4,3,6,4,43,3.0
3,3,6,2,41,1.0
8,3,6,0,44,1.0
7,4,3,5,60,3.0
7,3,3,2,36,2.0
8,10,3,5,70,1.0
0,1,1,1,18,3.0
